OBJECTID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,ZuschlagPr,Shape_Length
1,4064461,5113,primary, ,B 51,F,50,0,F,F,0,0,000289305
2,4064462,5114,secondary,Moltkestraße,K 6,B,30,0,F,F,0,0,000723338
3,4064463,5114,secondary,Ludgeriplatz, ,B,50,0,F,F,0,0,000868692
4,4064467,5122,residential,Engelstraße, ,F,30,0,F,F,0,0,000902742
5,4064474,5114,secondary,Weseler Straße,K 6,B,50,0,F,F,0,0,000346208
6,4064476,5114,secondary,Weseler Straße,K 2,F,50,0,F,F,0,0,001057345
7,4064482,5115,tertiary,Adenauerallee, ,B,50,0,F,F,0,0,002418196
8,4064485,5141,service,Servatiikirchplatz, ,B,0,0,F,F,0,0,000959142
9,4237502,5111,motorway, ,A 43,F,0,0,F,F,0,0,002693879
10,4237503,5131,motorway_link, ,A 43,F,0,0,F,F,0,0,00179782
11,4237505,5131,motorway_link, , ,F,0,0,F,F,0,0,002079175
12,4592974,5113,primary, ,B 54,F,50,0,F,F,0,9,85345E-05
13,4592975,5114,secondary,Hammer Straße,K 6,B,50,0,F,F,0,0,001945292
14,4592976,5122,residential,Josefstraße, ,F,30,0,F,F,0,0,002696866
15,4829552,5114,secondary,Warendorfer Straße,L 843,B,50,0,F,F,0,0,00408516
16,4829554,5114,secondary,Schifffahrter Damm,L 587,F,50,0,F,F,0,0,000307054
17,4829555,5114,secondary,Schifffahrter Damm,L 587,B,50,1,F,F,0,0,002945212
18,4829556,5114,secondary,Schifffahrter Damm,L 587,B,50,0,F,F,0,0,003369222
19,4829557,5114,secondary,Schifffahrter Damm,L 587,B,50,0,F,F,0,0,001173014
20,4829558,5114,secondary,Schifffahrter Damm,L 587,B,50,1,T,F,0,0,001406964
21,4829559,5114,secondary,Schifffahrter Damm,L 587,B,70,0,F,F,0,0,000956464
22,4829560,5114,secondary,Schifffahrter Damm,L 587,B,70,0,F,F,0,0,000702747
23,4829905,5115,tertiary,Sudmühlenstraße,K 7,B,50,0,F,F,0,0,007972469
24,4829906,5115,tertiary,Sudmühlenstraße,K 7,B,50,0,F,F,0,0,001128141
25,4829908,5122,residential,Dyckburgstraße, ,B,30,0,F,F,0,0,000460562
26,4829909,5141,service,Dyckburgstraße, ,B,50,0,F,F,0,0,0065456
27,4829910,5121,unclassified,Dyckburgstraße, ,B,30,0,F,F,0,0,001006189
28,4829911,5121,unclassified,Havichhorster Mühle, ,B,30,0,F,F,0,0,003253008
29,4829912,5113,primary,Schifffahrter Damm,B 481,B,70,0,F,F,0,0,001380499
31,4829923,5115,tertiary,Hessenweg, ,F,0,0,F,F,0,9,4146E-05
32,4829925,5115,tertiary,Königsberger Straße,K 7,B,50,0,F,F,0,0,003891891
33,4863784,5122,residential,Hacklenburg, ,B,30,0,F,F,0,0,000110258
35,4863786,5121,unclassified,Hacklenburg, ,B,0,0,F,F,0,0,006486534
38,4863789,5121,unclassified,Mariendorfer Straße, ,B,50,0,F,F,0,0,009327472
40,4863791,5121,unclassified,Mariendorfer Straße, ,B,50,0,F,F,0,0,008959597
41,4863792,5115,tertiary,Dyckburgstraße,K 33,B,50,0,F,F,0,0,005659248
44,4863796,5121,unclassified,Avendruper Straße, ,B,0,0,F,F,0,0,011941214
45,4863859,5121,unclassified,Helweger Esch, ,B,0,0,F,F,0,0,005286938
46,4863860,5115,tertiary,Dorbaumstraße,K 16,B,50,0,F,F,0,0,004276334
47,4863861,5122,residential,Dorbaumstraße, ,B,50,0,F,F,0,0,001836749
48,4863862,5122,residential,Willingrott, ,B,0,0,F,F,0,0,00718963
49,4863863,5122,residential,Willingrott, ,B,0,0,F,F,0,0,000657946
50,4863864,5115,tertiary,Handorfer Straße,K 16,B,50,0,F,F,0,0,001696814
51,4863867,5115,tertiary,Handorfer Straße,K 16,B,50,0,F,F,0,0,003104353
52,4945107,5121,unclassified,Johann-Krane-Weg, ,B,50,0,F,F,0,0,001476251
53,4945108,5114,secondary,Austermannstraße,K 7,B,0,0,F,F,0,0,000149077
54,4945110,5114,secondary,Austermannstraße,K 7,B,50,0,F,F,0,0,000949564
56,4945114,5121,unclassified,Johann-Krane-Weg, ,B,50,0,F,F,0,0,002634056
59,4945117,5122,residential,Philippistraße, ,B,30,0,F,F,0,0,003513747
65,4945317,5131,motorway_link, , ,F,0,0,F,F,0,0,005097131
66,4945319,5113,primary,Steinfurter Straße,B 54,F,0,0,F,F,0,0,000177349
68,4945323,5122,residential,Melchersstraße, ,B,30,0,F,F,0,0,009229536
70,4984967,5141,service, , ,B,0,0,F,F,0,0,002758517
71,4984968,5141,service, , ,B,0,0,F,F,0,0,000794227
72,4984969,5122,residential,Horstmarer Landweg, ,B,50,0,F,F,0,0,003565163
73,4984970,5141,service, , ,B,0,0,F,F,0,0,000405563
74,4984971,5121,unclassified,Horstmarer Landweg, ,B,50,0,F,F,0,0,001036471
76,4984975,5141,service, , ,B,0,0,F,F,0,0,000419187
80,4984981,5122,residential,Wilhelmstraße, ,B,30,0,F,F,0,0,003476444
81,4984982,5114,secondary,Wilhelmstraße,K 4,B,50,0,F,F,0,0,000367006
83,4985140,5122,residential,Lazarettstraße, ,B,30,0,F,F,0,0,001115573
84,4985141,5122,residential,Heerdestraße, ,B,30,0,F,F,0,0,001571555
85,4985144,5122,residential,Heerdestraße, ,B,30,0,F,F,0,0,000511583
86,4985145,5122,residential,Grimmstraße, ,B,30,0,F,F,0,0,001254013
87,4985146,5115,tertiary,Nordstraße, ,B,30,0,F,F,0,0,001396966
88,4985147,5115,tertiary,Wienburgstraße, ,B,50,0,F,F,0,0,001629955
89,4985975,5122,residential,Maximilianstraße, ,F,30,0,F,F,0,0,002047286
90,4985976,5122,residential,Coerdestraße, ,B,30,0,F,F,0,0,002969886
91,4985977,5122,residential,Rudolf-von-Langen-Straße, ,B,30,0,F,F,0,0,004406018
92,4985978,5115,tertiary,Am Kreuztor, ,B,30,0,F,F,0,0,000375555
93,4985980,5122,residential,Breul, ,B,30,0,F,F,0,0,000187285
94,4985982,5122,residential,Neubrückenstraße, ,F,30,0,F,F,0,0,003009274
95,4985984,5122,residential,Neubrückenstraße, ,B,30,0,F,F,0,0,00045214
96,4985985,5141,service,Neubrückenstraße, ,B,0,0,F,F,0,0,000698461
97,5029725,5122,residential,Kinderhauser Straße, ,B,50,0,F,F,0,0,000241732
98,5029726,5122,residential,Wasserstraße, ,B,30,0,F,F,0,0,000863334
104,5029732,5114,secondary,Bergstraße,K 4,B,30,0,F,F,0,0,000757351
105,5029733,5114,secondary,An der Apostelkirche,K 4,B,30,0,F,F,0,0,000755845
106,5029735,5114,secondary,Mauritztor,K 4,F,30,0,F,F,0,0,000630146
107,5029804,5114,secondary,Warendorfer Straße,K 4,B,50,0,F,F,0,0,001568525
108,5029805,5114,secondary,Warendorfer Straße,K 4,B,50,0,F,F,0,0,00093364
109,5029806,5122,residential,Coerdestraße, ,B,30,0,F,F,0,0,003053235
110,5029807,5122,residential,Rjasanstraße, ,F,30,0,F,F,0,0,00025644
111,5029873,5122,residential,Melchersstraße, ,B,50,0,F,F,0,9,73132E-05
112,5029874,5122,residential,Coerdeplatz, ,B,30,0,F,F,0,0,002244299
113,5029875,5122,residential,Zeppelinstraße, ,B,30,0,F,F,0,0,001773724
114,5049243,5115,tertiary, , ,F,0,0,F,F,0,0,00022404
115,5049244,5122,residential,Robert-Koch-Straße, ,B,30,0,F,F,0,0,00563955
116,5049245,5122,residential,Pottkamp, ,B,30,0,F,F,0,0,002081293
117,5049246,5122,residential,Vesaliusweg, ,B,30,0,F,F,0,0,003359079
118,5049247,5141,service, , ,B,0,0,F,F,0,0,000734198
119,5049248,5113,primary,Kardinal-von-Galen-Ring,B 54,F,50,0,F,F,0,0,000196311
120,5076316,5122,residential,Westhoffstraße, ,B,50,0,F,F,0,0,001041303
121,5076410,5122,residential,Neubrückentor, ,B,30,0,F,F,0,0,000453256
122,5076466,5141,service, , ,B,0,0,F,F,0,0,000978459
123,5076644,5115,tertiary, ,K 7,B,0,0,F,F,0,0,00015306
124,5076665,5115,tertiary,Zum Rieselfeld, ,B,70,0,F,F,0,0,005244979
125,5076685,5115,tertiary,Holtmannsweg,K 7,B,30,0,F,F,0,0,002240942
126,5076799,5122,residential,Gleiwitzer Straße, ,B,30,0,F,F,0,0,005545589
127,5076800,5115,tertiary,Königsberger Straße,K 7,B,50,1,T,F,0,0,001029737
128,5076801,5115,tertiary,Königsberger Straße,K 7,B,50,0,F,F,0,0,004587803
129,5081839,5114,secondary,Lublinring,L 586,F,50,0,F,F,0,0,00045634
130,5081840,5115,tertiary,Gartenstraße,K 8,F,50,0,F,F,0,0,000142679
131,5082066,5115,tertiary,Hoher Heckenweg,K 8,B,50,0,F,F,0,0,000363571
132,5082067,5122,residential,Coerheide, ,B,30,0,F,F,0,0,000425707
133,5082176,5122,residential,Hermelinweg, ,B,30,0,F,F,0,0,002441242
134,5105730,5114,secondary,Umgehungsstraße,L 551,F,50,0,F,F,0,0,000616474
135,5105732,5141,service, , ,B,0,0,F,F,0,0,000276622
136,5106109,5114,secondary,Niedersachsenring,L 586,F,50,0,F,F,0,0,000419025
137,5106115,5115,tertiary,Ostmarkstraße, ,F,50,0,F,F,0,0,00021764
138,5106118,5114,secondary,Warendorfer Straße,L 843,F,50,0,F,F,0,0,004807295
139,5116372,5121,unclassified,Horstmarer Landweg, ,B,50,0,F,F,0,0,006971544
140,5116410,5114,secondary,Friesenring,L 586,F,50,0,F,F,0,0,005426521
141,5118179,5114,secondary,Brock,L 843,B,50,0,F,F,0,0,001339032
142,5121405,5114,secondary,Hülshoffstraße,L 529,B,100,0,F,F,0,0,003112498
143,5121677,5115,tertiary,Uhlenbrockweg,K 21,B,100,0,F,F,0,0,020130106
144,5121679,5121,unclassified,Flothbach, ,B,0,0,F,F,0,0,010073541
145,5122103,5141,service, , ,B,0,0,F,F,0,0,000367828
146,5122105,5122,residential,Nerzweg, ,B,30,0,F,F,0,0,007462823
147,5122129,5141,service, , ,B,0,0,F,F,0,0,000580286
148,5133949,5121,unclassified,Regina-Protmann-Straße, ,B,50,0,F,F,0,0,003848131
149,5133950,5121,unclassified,Wienburgstraße, ,B,50,0,F,F,0,0,000981533
150,5133966,5121,unclassified,Gartenstraße, ,B,50,0,F,F,0,0,000529434
151,5147787,5122,residential,Marderweg, ,B,30,0,F,F,0,0,00252467
152,5147788,5141,service,Marderweg, ,B,0,0,F,F,0,0,000104921
153,5147789,5122,residential,Marderweg, ,B,30,0,F,F,0,0,002729305
154,5147912,5122,residential,Fuchsweg, ,B,30,0,F,F,0,0,002490491
155,5147928,5122,residential,Wieselweg, ,B,30,0,F,F,0,0,001844854
156,5147930,5122,residential,Iltisweg, ,B,30,0,F,F,0,0,001852743
157,5147948,5122,residential,Breslauer Straße, ,B,30,0,F,F,0,0,001409834
158,5148081,5115,tertiary,Am Burloh,K 7,B,50,0,F,F,0,0,001923542
159,5148219,5115,tertiary,Gartenstraße,K 8,F,50,0,F,F,0,0,000818507
160,5182802,5113,primary,Warendorfer Straße,B 51,B,70,0,F,F,0,0,000797318
164,5183989,5114,secondary,Warendorfer Straße,L 843,F,50,0,F,F,0,0,000104792
165,5183990,5114,secondary,Warendorfer Straße,L 843,B,50,0,F,F,0,0,000776389
167,5184055,5131,motorway_link, ,B 51,F,70,0,F,F,0,0,000830466
168,5184057,5111,motorway, ,A 43,F,0,0,F,F,0,0,011981809
169,5184159,5122,residential,Friedrich-Wilhelm-Weber-Straße, ,B,30,0,F,F,0,0,004293849
170,5184161,5141,service, , ,B,0,0,F,F,0,6,04648E-05
172,5184165,5141,service, , ,B,0,0,F,F,0,0,001021381
173,5186796,5114,secondary,Kaiser-Wilhelm-Ring,L 586,B,50,0,F,F,0,0,000785833
174,5186797,5122,residential,Stiftsherrenstraße, ,F,0,0,F,F,0,0,002172976
175,5186799,5122,residential,Hörsterstraße, ,F,30,0,F,F,0,0,000721194
176,5186800,5122,residential,Korduanenstraße, ,B,0,0,F,F,0,0,002367249
177,5186802,5122,residential,Wevelinghofergasse, ,F,0,0,F,F,0,0,002185392
178,5186803,5122,residential,Sonnenstraße, ,F,0,0,F,F,0,8,12664E-05
179,5187754,5122,residential,Dorpatweg, ,B,50,0,F,F,0,0,000146035
180,5187756,5122,residential,Rigaweg, ,B,30,0,F,F,0,0,003200321
181,5187761,5121,unclassified, , ,B,50,0,F,F,0,0,002168149
182,5188192,5122,residential,Sonnenstraße, ,F,0,0,F,F,0,0,000986186
184,5188590,5121,unclassified,Windthorststraße, ,F,0,0,F,F,0,0,000123215
185,5189965,5114,secondary,Freiherr-vom-Stein-Platz,K 4,F,50,0,F,F,0,0,00029515
186,5189967,5114,secondary,Mauritztor,K 4,F,30,0,F,F,0,0,000299915
187,5189969,5141,service,Promenade, ,B,0,0,F,F,0,0,00080439
189,5210020,5122,residential,Dachsleite, ,B,30,0,F,F,0,0,011482285
190,5210021,5122,residential,Schneidemühler Straße, ,B,30,0,F,F,0,0,006192216
191,5210022,5122,residential,Elbinger Straße, ,B,30,0,F,F,0,0,003829941
192,5210023,5122,residential,Schneidemühler Straße, ,B,30,0,F,F,0,0,00143131
193,5210024,5122,residential,Liegnitzer Straße, ,B,30,0,F,F,0,0,001837626
194,5210093,5141,service, , ,B,0,0,F,F,0,7,0277E-05
195,5215509,5122,residential,Wienburgstraße, ,B,30,0,F,F,0,0,003493763
196,5215751,5141,service, , ,B,0,0,F,F,0,0,002479337
197,5215752,5122,residential,Culmer Straße, ,B,30,0,F,F,0,0,002301401
198,5215753,5122,residential,Marienburgstraße, ,B,30,0,F,F,0,0,001100561
199,5215754,5122,residential,Igelpatt, ,B,30,0,F,F,0,0,00224646
200,5215756,5122,residential,Mümmelmannpfad, ,B,30,0,F,F,0,0,00152921
201,5215757,5122,residential,Biberweg, ,B,30,0,F,F,0,0,001393113
202,5215758,5122,residential,Bisamgang, ,B,30,0,F,F,0,0,000847851
203,5215913,5122,residential,Kiesekampweg, ,B,50,0,F,F,0,0,000122299
204,5215915,5122,residential,Kemperweg, ,B,30,0,F,F,0,0,00345863
205,5215965,5122,residential,Görlitzer Straße, ,B,30,0,F,F,0,0,004237247
208,5293584,5121,unclassified,Salzstraße, ,B,30,0,F,F,0,0,00057599
209,5293590,5122,residential,Ferdinand-Freiligrath-Straße, ,B,30,0,F,F,0,0,001998188
210,5293592,5122,residential,Klosterstraße, ,F,30,0,F,F,0,0,003527856
211,5293594,5141,service,Promenade, ,B,0,0,F,F,0,7,18945E-05
214,5293608,5122,residential,Kinderhauser Straße, ,B,30,0,F,F,0,0,002292794
215,5293610,5122,residential,Winkelstraße, ,F,30,0,F,F,0,0,001815813
216,5293613,5122,residential,Uppenkampstiege, ,B,0,0,F,F,0,0,002986012
217,5293614,5141,service,Promenade, ,B,0,0,F,F,0,0,000209193
218,5302040,5114,secondary,Steinfurter Straße,K 6,F,50,0,F,F,0,0,002451814
219,5302042,5122,residential,Grevener Straße, ,F,30,0,F,F,0,0,001916594
220,5302043,5122,residential,Schulstraße, ,B,30,0,F,F,0,0,001672529
221,5302045,5122,residential,Uppenbergstraße, ,F,30,0,F,F,0,0,001706813
222,5302154,5122,residential,Kanonierstraße, ,B,30,0,F,F,0,0,000753822
223,5302156,5122,residential,Marientalstraße, ,B,30,0,F,F,0,0,000795298
224,5302159,5122,residential,Wüllnerstraße, ,B,30,0,F,F,0,0,002351494
225,5302161,5122,residential,Stierlinstraße, ,B,30,0,F,F,0,0,002251709
226,5302162,5122,residential,Studtstraße, ,B,30,0,F,F,0,0,005390965
227,5302164,5122,residential,Hoyastraße, ,F,30,0,F,F,0,0,00372148
228,5302167,5122,residential,Kampstraße, ,B,0,0,F,F,0,0,001820456
229,5302168,5122,residential,Dürerstraße, ,B,30,0,F,F,0,0,00241123
230,5302169,5114,secondary,Einsteinstraße,K 4,B,50,0,F,F,0,0,006718025
231,5305701,5115,tertiary,Himmelreichallee, ,B,50,0,F,F,0,0,000593639
232,5305703,5114,secondary,Neutor,K 4,B,50,0,F,F,0,0,000345453
233,5305705,5114,secondary, , ,B,50,0,F,F,0,0,001135141
234,5305706,5122,residential,Wilhelmstraße, ,F,50,0,F,F,0,0,000546905
235,5305707,5122,residential,Wilhelmstraße, ,F,50,0,F,F,0,0,00053293
236,5305708,5114,secondary,Mendelstraße,K 1,B,50,0,F,F,0,0,00019069
237,5305712,5122,residential,Redigerstraße, ,B,30,0,F,F,0,0,001688461
238,5305716,5114,secondary,Grevener Straße,L 587,F,50,0,F,F,0,0,001521879
239,5305718,5122,residential,Dreizehnerstraße, ,B,0,0,F,F,0,0,000171536
240,5305719,5141,service,Fresnostraße, ,B,0,0,F,F,0,0,002748005
241,5306602,5114,secondary,Einsteinstraße,K 4,F,50,0,F,F,0,0,000579755
242,5306603,5114,secondary,Von-Esmarch-Straße,L 843,F,50,0,F,F,0,0,000996533
243,5306606,5114,secondary,Gievenbecker Weg,K 1,B,50,0,F,F,0,0,003379242
244,5306607,5122,residential,Gescherweg, ,B,30,0,F,F,0,0,003754929
245,5487046,5122,residential,Königsberger Straße, ,B,30,0,F,F,0,0,001026328
246,5487048,5122,residential,Coerdestiege, ,B,30,0,F,F,0,0,004583187
247,5487050,5122,residential,Coerdestiege, ,B,30,0,F,F,0,0,002137359
248,5487052,5122,residential,Allensteiner Straße, ,B,30,0,F,F,0,0,003878948
250,5487057,5122,residential,Königsberger Straße, ,B,0,0,F,F,0,5,72013E-05
251,5487059,5122,residential,Coerder Liekweg, ,B,0,0,F,F,0,6,00142E-05
252,5487130,5141,service, , ,B,0,0,F,F,0,0,000525739
253,5565280,5115,tertiary,Hoher Heckenweg,K 8,B,50,0,F,F,0,0,000476941
254,5571896,5121,unclassified,Coermühle, ,B,50,0,F,F,0,0,007176275
255,5608001,5121,unclassified,Domagkstraße, ,B,30,0,F,F,0,0,003831617
257,5608009,5122,residential,Am Schlossgarten, ,B,30,0,F,F,0,0,00461888
258,5608012,5141,service,Leonardo-Campus, ,B,0,0,F,F,0,0,00322417
259,5608015,5122,residential,Vinzenzweg, ,B,30,0,F,F,0,0,00260869
262,5608022,5122,residential,Kettelerstraße, ,B,30,0,F,F,0,0,002763834
264,5608031,5141,service,Leonardo-Campus, ,B,0,0,F,F,0,0,000112438
267,5608040,5122,residential,Marientalstraße, ,B,30,0,F,F,0,0,003095878
269,5608044,5122,residential,Windthorststraße, ,B,50,0,F,F,0,8,71251E-05
272,5608049,5141,service, , ,B,0,0,F,F,0,0,001520013
274,5608057,5141,service, , ,B,0,0,F,F,0,0,000159345
275,5608060,5141,service, , ,B,0,0,F,F,0,0,001035381
276,5608062,5122,residential,Kettelerstraße, ,B,30,0,F,F,0,0,000186305
277,5608063,5122,residential,Enkingweg, ,B,30,0,F,F,0,0,002681292
282,5664023,5141,service, , ,B,0,0,F,F,0,0,000623982
283,5664024,5141,service, , ,B,0,0,F,F,0,0,000743567
286,5665136,5122,residential,Catharina-Müller-Straße, ,B,0,0,F,F,0,0,000127788
287,5707678,5122,residential,Prinzipalmarkt, ,F,0,0,F,F,0,0,00064295
288,5707682,5122,residential,Hollenbeckerstraße, ,F,30,0,F,F,0,0,001648912
289,5707685,5122,residential,Rothenburg, ,B,30,0,F,F,0,0,000498825
290,5707687,5122,residential,Bogenstraße, ,F,0,0,F,F,0,0,001124301
292,5707690,5122,residential,Spiekerhof, ,F,0,0,F,F,0,0,001258459
293,5707693,5122,residential,Rosenstraße, ,F,30,0,F,F,0,0,000172685
294,5707696,5122,residential,Klosterstraße, ,B,30,0,F,F,0,0,002258185
295,5707697,5122,residential,Schlaunstraße, ,F,30,0,F,F,0,0,000246788
297,5707702,5122,residential,Schlaunstraße, ,F,30,0,F,F,0,0,000229039
298,5707704,5122,residential,Drubbel, ,F,0,0,F,F,0,0,000172601
299,5707706,5122,residential,Rothenburg, ,F,0,0,F,F,0,0,00018764
300,5707707,5114,secondary,Von-Vincke-Straße,K 8,F,50,0,F,F,0,0,001867729
301,5707710,5122,residential,Ludgeristraße, ,B,30,0,F,F,0,0,000457236
302,5707712,5122,residential,Alter Fischmarkt, ,F,0,0,F,F,0,0,00162173
303,5707714,5122,residential,Königsstraße, ,F,15,0,F,F,0,0,000693066
304,5736731,5114,secondary,Von-Steuben-Straße, ,F,30,0,F,F,0,0,001427442
305,5736733,5154,path, , ,B,0,0,F,F,0,0,001473849
308,5736741,5122,residential,Körnerstraße, ,B,30,0,F,F,0,0,001749342
309,5736744,5122,residential,Junkerstraße, ,F,30,0,F,F,0,0,001445197
310,5736745,5122,residential,Goebenstraße, ,B,30,0,F,F,0,0,001803044
311,5736747,5122,residential,Peter-Wust-Straße, ,B,30,0,F,F,0,0,003100586
312,5736750,5122,residential,Teichstraße, ,B,30,0,F,F,0,0,001731735
313,5736751,5141,service, , ,B,0,0,F,F,0,0,000647693
315,5736757,5122,residential,An den Mühlen, ,B,30,0,F,F,0,0,002643386
317,5736764,5141,service,Promenade, ,B,0,0,F,F,0,0,000434375
318,5736768,5122,residential,Sternstraße, ,B,30,0,F,F,0,0,002905064
319,5736772,5122,residential,Lühnstiege, ,F,30,0,F,F,0,0,002078016
323,5736781,5122,residential,Hoppendamm, ,B,20,0,F,F,0,0,002851816
324,5736793,5122,residential,Junkerstraße, ,F,0,0,F,F,0,0,000529392
328,5736801,5122,residential,Goebenstraße, ,B,30,0,F,F,0,0,000565092
329,5736803,5141,service,Schlossplatz, ,B,0,0,F,F,0,0,001009985
330,5736805,5122,residential,Goebenstraße, ,B,30,0,F,F,0,0,003107453
333,5736811,5114,secondary,Hafenstraße,K 9,B,50,0,F,F,0,0,000438634
336,5736820,5114,secondary,Hohenzollernring,L 586,B,50,0,F,F,0,0,000630508
339,5736832,5122,residential,Bernhardstraße, ,F,30,0,F,F,0,0,001497737
341,5736839,5122,residential,Averkampstraße, ,B,30,0,F,F,0,0,001531288
342,5736840,5114,secondary,Hansaring,L 586,B,50,0,F,F,0,0,000624661
343,5737990,5115,tertiary,Gerichtsstraße, ,B,50,0,F,F,0,0,000898943
344,5738250,5122,residential,Überwasserstraße, ,B,30,0,F,F,0,0,001529048
346,5738599,5122,residential,Sternstraße, ,B,30,0,F,F,0,0,004275491
347,5738601,5114,secondary,Wolbecker Straße,L 793,B,50,0,F,F,0,0,001887711
348,5739833,5122,residential,Aegidiistraße, ,B,30,0,F,F,0,0,000694741
349,5739873,5122,residential,Jessingstraße, ,B,30,0,F,F,0,0,001369114
352,5881250,5122,residential,Jüdefelderstraße, ,F,30,0,F,F,0,0,000482815
353,5881251,5122,residential,Jüdefelderstraße, ,B,30,0,F,F,0,0,000419786
354,5881255,5122,residential,Jüdefelderstraße, ,B,0,0,F,F,0,0,000780607
355,5883198,5122,residential,Michaelisplatz, ,B,0,0,F,F,0,0,001036252
356,5887529,5122,residential,Hermannstraße, ,B,0,0,F,F,0,0,000133177
357,5967584,5122,residential,Verspoel, ,F,30,0,F,F,0,0,001887119
358,5967585,5141,service, , ,B,0,0,F,F,0,0,000314727
360,5967593,5122,residential,Finkenstraße, ,B,30,0,F,F,0,0,002291861
361,5967597,5122,residential,Finkenstraße, ,B,30,0,F,F,0,0,001639102
362,5967599,5122,residential,Bispinghof, ,F,30,0,F,F,0,0,001302103
365,5967602,5122,residential,Klemensstraße, ,F,15,0,F,F,0,0,001792678
368,5967607,5122,residential,Klemensstraße, ,F,0,0,F,F,0,0,000360911
369,5967608,5122,residential,Pferdegasse, ,B,30,0,F,F,0,0,001426091
371,5967612,5122,residential,Bispinghof, ,B,50,0,F,F,0,0,001350896
372,5967615,5122,residential,Johannisstraße, ,B,30,0,F,F,0,0,000848533
373,5967616,5122,residential,Krummer Timpen, ,F,30,0,F,F,0,0,001478511
376,5967623,5115,tertiary,Bohlweg, ,B,0,0,F,F,0,0,004742118
377,5967626,5122,residential,Johannisstraße, ,B,0,0,F,F,0,0,000185577
378,5967629,5141,service, , ,B,0,0,F,F,0,0,000737583
379,5967631,5122,residential,Wichernstraße, ,F,0,0,F,F,0,0,000259784
380,5967634,5122,residential,Ludgeristraße, ,F,30,0,F,F,0,0,000826618
381,6006188,5122,residential,Goldstraße, ,B,30,0,F,F,0,0,000100864
382,6006190,5115,tertiary,Bohlweg, ,B,0,0,F,F,0,0,001024984
383,6006191,5115,tertiary,Gartenstraße,K 8,F,50,0,F,F,0,0,00021123
384,6074100,5141,service, , ,B,0,0,F,F,0,0,000394336
385,6074104,5141,service, , ,B,0,0,F,F,0,0,000365517
386,6074106,5141,service, , ,B,0,0,F,F,0,0,000417287
388,6074108,5141,service, , ,B,0,0,F,F,0,0,000366052
391,6074637,5141,service, , ,B,0,0,F,F,0,0,001246244
401,6076970,5141,service, , ,B,0,0,F,F,0,0,000426394
402,6076971,5141,service, , ,B,0,0,F,F,0,0,000591419
406,6077262,5141,service, , ,B,0,0,F,F,0,0,000213685
409,6188719,5122,residential,Idenbrockweg, ,B,30,0,F,F,0,0,005095222
410,6188724,5122,residential,Ohmweg, ,B,30,0,F,F,0,0,001482907
411,6188732,5122,residential,Papenbusch, ,B,30,0,F,F,0,0,005699763
412,6188734,5121,unclassified,Haus Uhlenkotten,K 12,B,50,0,F,F,0,0,00129844
416,6190051,5122,residential,Alsenstraße, ,B,30,0,F,F,0,0,002142498
417,6190054,5122,residential,Alsenstraße, ,B,0,0,F,F,0,0,000949176
422,6190068,5122,residential,Piusallee, ,B,0,0,F,F,0,0,002114491
423,6190071,5122,residential,Robert-Blum-Straße, ,B,30,0,F,F,0,0,003814436
424,6190072,5122,residential,Piusallee, ,B,0,0,F,F,0,0,00015335
426,6190074,5122,residential,Cheruskerring, ,B,30,0,F,F,0,0,002113743
427,6190075,5122,residential,Flandernstraße, ,B,30,0,F,F,0,0,001314686
429,6190081,5122,residential,Flandernstraße, ,B,30,0,F,F,0,0,000941873
432,6190088,5122,residential,Kleine Wienburgstraße, ,B,0,0,F,F,0,0,002021448
433,6190089,5141,service,Ludgeriplatz, ,B,0,0,F,F,0,0,000539231
434,6190090,5122,residential,Alsenstraße, ,B,0,0,F,F,0,0,000694115
435,6190091,5122,residential,Elisabet-Ney-Straße, ,F,0,0,F,F,0,0,00229056
437,6190095,5122,residential,Kolpingstraße, ,B,30,0,F,F,0,0,00206763
439,6190099,5141,service, , ,B,0,0,F,F,0,0,000684921
441,6190103,5122,residential,Kolpingstraße, ,B,30,0,F,F,0,0,003900311
442,6190105,5122,residential,Langemarckstraße, ,B,30,0,F,F,0,0,004180874
444,6190108,5141,service, , ,B,0,0,F,F,0,0,001192433
445,6190109,5122,residential,Am Kanonengraben, ,F,30,0,F,F,0,0,006134737
447,6190112,5141,service, , ,B,0,0,F,F,0,0,000798711
452,6190119,5154,path, , ,B,0,0,F,F,0,0,001100001
457,6190127,5141,service,Hals, ,B,0,0,F,F,0,0,000342857
458,6191697,5122,residential,Domplatz, ,B,30,0,F,F,0,0,002198658
459,6191699,5122,residential,Spiegelturm, ,B,0,0,F,F,0,2,95928E-05
464,6192886,5115,tertiary,Fürstenbergstraße,K 8,B,50,0,F,F,0,0,000360051
466,6229719,5122,residential,Friedrich-Ebert-Straße, ,B,0,0,F,F,0,0,002675147
467,6229721,5115,tertiary,Friedrich-Ebert-Straße,K 9,B,50,0,F,F,0,0,011526017
468,6229724,5122,residential,Augustastraße, ,B,30,0,F,F,0,0,000504697
469,6235031,5114,secondary,Hammer Straße,K 6,B,50,0,F,F,0,3,1593E-05
470,6238956,5114,secondary,Steinfurter Straße,L 510,B,70,0,F,F,0,0,006604179
471,6239079,5122,residential,Rudolfstraße, ,B,30,0,F,F,0,0,000779694
472,6239081,5122,residential,Friedensstraße, ,B,30,0,F,F,0,0,000206666
